"Marca temporal","¿Eres estudiante de 42?","¿Te sientes motivado en tus estudios/proyectos?","¿Elegiste tus estudios actuales?","¿Te gusta lo que estudias?","¿Sientes que aprovechas el tiempo?","¿Eres una persona organizada?","¿Te sientes cómodo con tus compañeros en el ambiente de estudio?","¿Cuántas horas duermes al día? (en horas)","¿Sientes que duermes lo suficiente?","¿Cuántas comidas haces diariamente?","¿Cuántas bebidas energéticas o café consumes diariamente?","¿Cada cuánto realizas actividad física/meditación semanalmente?","¿Cuánto tiempo dedicas a los estudios diariamente? (en horas)","¿Te sientes a gusto con la metodología de estudio que tiene tu sistema educativo?","¿Te sientes acompañado en el estudio?","¿Sientes que estás en un ambiente competitivo?","¿Te sientes cómodo en un ambiente competitivo?","¿Te ves capaz de realizar trabajos de forma autónoma?","¿Sientes presión cuando se te acumulan las tareas?","¿Crees que tienes el síndrome de burnout?"
"2024/03/15 2:16:29 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","Si, un poco","No","6","No","3","1","1 - 2 dias","3","No","No","Si","Si","Si","Si","Si"
"2024/03/15 2:17:20 p. m. CET","No","Sí, pero poco","No, acabe de rebote","Si","No","Si, un poco","Si","6","No","Mas de 3","Nada","3 - 4 dias","1","No","No","No","Si","Si","Si","Si"
"2024/03/15 2:17:29 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","Si","3","Nada","3 - 4 dias","0","No","No","No","Si","Si","No","No"
"2024/03/15 2:18:45 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","Si, un poco","Si","7","No","Mas de 3","Nada","3 - 4 dias","2","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:20:31 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7 horas","Si","3","Nada","Nada","4 horas","Si","Si","Si","No","No","Si","No"
"2024/03/15 2:23:23 p. m. CET","No","Si, mucho","No, acabe de rebote","Si","Si","No, nada","Si","7-8","Si","Mas de 3","1","5 o mas","2horas","Si","No","No","Si","Si","Si","No"
"2024/03/15 2:24:55 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","3","2","3 - 4 dias","0.2","Si","Si","Si","Si","Si","No","No"
"2024/03/15 2:26:23 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","Si, mucho","Si","7","Si","3","1","Nada","4","Si","No","No","Si","Si","Si","Si"
"2024/03/15 2:30:21 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","No","3","1","1 - 2 dias","9","Si","Si","No","Si","Si","Si","No"
"2024/03/15 2:34:51 p. m. CET","No","No","Si, era lo que quería","No","No","No, nada","Si","4","No","Mas de 3","2","Nada","5","No","Si","No","No","No","Si","Si"
"2024/03/15 2:36:15 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","No, nada","No","4","No","Mas de 3","2","5 o mas","12","No","Si","Si","No","Si","Si","Si"
"2024/03/15 2:40:01 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","No","7","Si","Mas de 3","2","1 - 2 dias","2","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:40:47 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","No, nada","No","8","No","Mas de 3","Nada","5 o mas","3","No","No","Si","Si","Si","Si","Si"
"2024/03/15 2:41:58 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6.33","Si","3","2","5 o mas","6","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:42:03 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","8","Si","3","2","1 - 2 dias","5","Si","Si","No","No","Si","Si","Si"
"2024/03/15 2:42:03 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","8","Si","3","1","1 - 2 dias","8","Si","Si","No","No","Si","Si","No"
"2024/03/15 2:42:04 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","Si, un poco","Si","5","No","Menos de 3","2","1 - 2 dias","3","Si","Si","No","Si","Si","No","Si"
"2024/03/15 2:42:06 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","5","No","Menos de 3","3 o más","3 - 4 dias","5","Si","No","Si","Si","Si","No","No"
"2024/03/15 2:42:09 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7.5","Si","3","Nada","3 - 4 dias","4","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:42:35 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","Si, mucho","Si","4","No","Mas de 3","3 o más","5 o mas","7","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:42:38 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","Menos de 3","Nada","3 - 4 dias","2","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:42:43 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","Menos de 3","2","5 o mas","6","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:43:09 p. m. CET","No","No","Si, era lo que quería","Si","Si","Si, mucho","Si","10","Si","Mas de 3","1","5 o mas","1-2","No","No","Si","Si","No","Si","Si"
"2024/03/15 2:43:15 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","5-6","No","3","Nada","3 - 4 dias","4-5","No","Si","Si","No","No","Si","No"
"2024/03/15 2:43:22 p. m. CET","Si","No","No, acabe de rebote","No","No","No, nada","No","3h 26min","Si","Menos de 3","Nada","5 o mas","25 h","Si","No","No","No","No","No","No"
"2024/03/15 2:43:48 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","No, nada","Si","6","No","3","1","5 o mas","0","Si","Si","Si","Si","Si","No","No"
"2024/03/15 2:43:59 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","Menos de 3","3 o más","1 - 2 dias","40","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:44:03 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","4","Si","Menos de 3","1","3 - 4 dias","6-7h","Si","Si","Si","Si","Si","No","No"
"2024/03/15 2:44:23 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","No, nada","Si","6","No","3","1","Nada","7","Si","Si","No","Si","Si","Si","No"
"2024/03/15 2:44:36 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","10 horas","Si","Menos de 3","1","Nada","8 horas","Si","Si","No","No","Si","No","Si"
"2024/03/15 2:44:56 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","6h","No","3","3 o más","1 - 2 dias","Entre 8 y 12","Si","Si","No","No","No","Si","Si"
"2024/03/15 2:45:26 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6-7h","No","Mas de 3","2","1 - 2 dias","6-7h","Si","Si","Si","Si","No","Si","No"
"2024/03/15 2:45:50 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","4 horas aprox.","No","Menos de 3","2","Nada","1 hora o más dependiendo de la semana","Si","Si","Si","No","Si","Si","No"
"2024/03/15 2:45:53 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","6","Si","Mas de 3","Nada","1 - 2 dias","8","Si","Si","Si","Si","Si","No","No"
"2024/03/15 2:46:02 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","7","No","3","1","Nada","5","Si","Si","Si","No","Si","Si","No"
"2024/03/15 2:47:08 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","No, nada","Si","7","Si","3","1","3 - 4 dias","3","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:47:10 p. m. CET","Si","Si, mucho","No, acabe de rebote","Si","Si","Si, un poco","Si","8","Si","3","2","1 - 2 dias","5","Si","Si","No","Si","Si","Si","No"
"2024/03/15 2:47:17 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","No, nada","Si","7","No","Menos de 3","Nada","5 o mas","3","Si","Si","Si","Si","No","Si","No"
"2024/03/15 2:47:18 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7-8","Si","Mas de 3","3 o más","3 - 4 dias","3","No","No","Si","No","Si","Si","Si"
"2024/03/15 2:47:24 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","No","3","Nada","3 - 4 dias","4","No","No","Si","No","Si","Si","No"
"2024/03/15 2:47:26 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","No, nada","Si","6","No","Mas de 3","Nada","1 - 2 dias","1","No","Si","No","Si","No","Si","No"
"2024/03/15 2:47:36 p. m. CET","No","Si, mucho","No, acabe de rebote","Si","No","Si, un poco","Si","7","No","Mas de 3","1","1 - 2 dias","8","No","No","Si","No","No","Si","Si"
"2024/03/15 2:47:59 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","3","1","1 - 2 dias","5","Si","Si","No","No","Si","Si","Si"
"2024/03/15 2:48:04 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","8","Si","Mas de 3","3 o más","1 - 2 dias","7","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:48:05 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","7","Si","Mas de 3","2","1 - 2 dias","8","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:48:10 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","Si","Si, un poco","Si","7-8","Si","3","1","3 - 4 dias","2-3 (sin contar el tiempo que estamos en clase)","Si","Si","No","Si","Si","Si","No"
"2024/03/15 2:48:46 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","1","No","Menos de 3","Nada","3 - 4 dias","20 horas","No","Si","No","Si","Si","Si","No"
"2024/03/15 2:49:01 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","No","3","Nada","Nada","3","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:49:48 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","No, nada","Si","3","No","3","Nada","Nada","6","Si","Si","Si","No","Si","Si","No"
"2024/03/15 2:50:42 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","5-6","No","Mas de 3","Nada","1 - 2 dias","3","No","Si","No","No","Si","Si","Si"
"2024/03/15 2:51:10 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","8 horas","Si","3","Nada","3 - 4 dias","5 - 6 horas","Si","Si","No","No","Si","Si","No"
"2024/03/15 2:51:19 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","5","No","3","1","3 - 4 dias","0","No","No","Si","Si","Si","No","No"
"2024/03/15 2:51:22 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","4","No","3","Nada","Nada","1-2","No","No","Si","Si","Si","No","No"
"2024/03/15 2:53:06 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","4 - 7","No","Menos de 3","1","Nada","4 - 8","Si","Si","No","Si","Si","Si","No"
"2024/03/15 2:53:19 p. m. CET","Si","Si, mucho","No, acabe de rebote","Si","Si","Si, mucho","Si","8 ","Si","3","1","Nada","Unas 8 seis días a la semana","No","Si","No","No","Si","No","No"
"2024/03/15 2:53:44 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6,5","No","3","1","1 - 2 dias","4","Si","Si","No","No","Si","Si","No"
"2024/03/15 2:55:42 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","Si","Mas de 3","1","3 - 4 dias","10","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:56:07 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","6 o 7","No","Mas de 3","Nada","1 - 2 dias","9","Si","Si","No","No","Si","Si","No"
"2024/03/15 2:56:08 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","10-6","Si","3","1","1 - 2 dias","6-10","Si","Si","No","Si","Si","No","No"
"2024/03/15 2:57:51 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","Si","3","1","5 o mas","5","Si","No","Si","Si","Si","No","No"
"2024/03/15 2:57:56 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","7","Si","Menos de 3","3 o más","1 - 2 dias","1","Si","Si","No","Si","Si","No","No"
"2024/03/15 2:58:30 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","No, nada","Si","6","No","3","2","5 o mas","6-7","Si","Si","No","Si","Si","No","No"
"2024/03/15 2:58:36 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","8","Si","Mas de 3","Nada","5 o mas","8","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:59:05 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","Si, un poco","Si","6,5","No","3","Nada","3 - 4 dias","1 o 2","No","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:59:42 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6","No","Menos de 3","1","Nada","4","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 2:59:45 p. m. CET","Si","Si, mucho","No, acabe de rebote","Si","Si","No, nada","Si","6","No","3","3 o más","3 - 4 dias","6","Si","Si","No","Si","Si","No","No"
"2024/03/15 3:00:02 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","Si","3","2","Nada","5","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 3:00:04 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7,5","Si","3","2","5 o mas","6","Si","Si","Si","Si","Si","No","No"
"2024/03/15 3:00:28 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","No","Mas de 3","2","5 o mas","2","Si","Si","Si","Si","Si","No","No"
"2024/03/15 3:01:19 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","Si","Mas de 3","3 o más","3 - 4 dias","8","Si","Si","Si","Si","Si","No","No"
"2024/03/15 3:01:25 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","Si","Mas de 3","1","5 o mas","7","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 3:01:49 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","No","7h","Si","3","Nada","1 - 2 dias","12","No","Si","No","Si","Si","Si","No"
"2024/03/15 3:02:49 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","7","Si","Mas de 3","Nada","5 o mas","8","Si","Si","No","No","Si","Si","No"
"2024/03/15 3:04:20 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7,5h","Si","Menos de 3","2","5 o mas","7h","Si","Si","Si","Si","Si","Si","Si"
"2024/03/15 3:05:00 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","9","Si","3","Nada","1 - 2 dias","6h","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 3:05:17 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","9","Si","3","1","5 o mas","6","Si","Si","Si","Si","Si","No","No"
"2024/03/15 3:05:37 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","Si","Menos de 3","Nada","1 - 2 dias","4","Si","No","No","No","Si","Si","No"
"2024/03/15 3:16:20 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","8","Si","3","2","1 - 2 dias","3","Si","Si","No","No","Si","Si","No"
"2024/03/15 3:39:14 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","Si, mucho","Si","6","No","3","2","5 o mas","5","Si","No","Si","Si","Si","Si","No"
"2024/03/15 3:43:54 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","Si","No, nada","Si","6","No","Menos de 3","1","1 - 2 dias","4","Si","No","Si","Si","No","No","No"
"2024/03/15 3:47:19 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7-8","Si","Menos de 3","1","Nada","9-10","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 3:52:50 p. m. CET","No","Sí, pero poco","No, acabe de rebote","Si","No","Si, un poco","No","6","No","Menos de 3","Nada","Nada","2","No","No","Si","No","Si","Si","Si"
"2024/03/15 4:11:29 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","Si, un poco","Si","7","Si","Mas de 3","2","5 o mas","0","Si","Si","Si","Si","Si","No","No"
"2024/03/15 4:20:36 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","7","Si","3","1","1 - 2 dias","2","Si","Si","No","Si","Si","Si","No"
"2024/03/15 4:20:57 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","No, nada","Si","9","Si","Menos de 3","Nada","Nada","5","Si","Si","No","No","No","Si","No"
"2024/03/15 4:20:59 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","8","Si","3","2","1 - 2 dias","6","Si","No","No","No","Si","Si","Si"
"2024/03/15 4:23:06 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","8","Si","3","Nada","5 o mas","3","No","No","No","No","Si","No","No"
"2024/03/15 4:24:39 p. m. CET","No","No","Si, era lo que quería","Si","No","No, nada","No","6","No","Menos de 3","1","3 - 4 dias","4","No","No","Si","No","Si","No","Si"
"2024/03/15 4:24:54 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6-8","Si","Mas de 3","1","5 o mas","4","No","Si","Si","Si","Si","No","No"
"2024/03/15 4:25:25 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","No, nada","Si","9","Si","Menos de 3","Nada","Nada","5","Si","Si","No","No","No","Si","No"
"2024/03/15 4:25:40 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","No","Si, un poco","Si","3-5","No","3","1","Nada","6h-10h","Si","No","Si","No","Si","Si","No"
"2024/03/15 4:26:44 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","9","Si","Mas de 3","Nada","1 - 2 dias","4","Si","Si","Si","Si","Si","Si","No"
